                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5847,                 4.3778,                 1.2032,                0.05833,                0.54465,                 0.0856,                0.04806,                 1.0062,                 4.1721,                0.87194,             0.00010584,             0.00010584,             0.00010584
                      2,                 1.2453,                 3.2292,                0.96583,                0.05021,                 0.9816,                0.38012,                0.24887,                0.95358,                 4.0634,                0.86056,             0.00020451,             0.00020451,             0.00020451
                      3,                 1.2246,                 1.8178,                0.98847,                0.05413,                0.99506,                0.52749,                0.35721,                 1.0092,                 3.8974,                0.85956,             0.00028977,             0.00028977,             0.00028977
                      4,                  1.174,                 1.3612,                 1.0014,                0.04114,                0.95833,                0.60829,                0.40994,                  1.061,                 3.5216,                0.86081,             0.00036162,             0.00036162,             0.00036162
                      5,                 1.1336,                 1.1358,                   1.01,                      1,                0.15633,                0.80708,                0.56938,                 1.0293,                 3.1068,                0.89295,             0.00042007,             0.00042007,             0.00042007
                      6,                 1.0871,                0.98271,                 1.0125,                0.96521,                 0.7014,                0.96647,                0.66109,                 1.0882,                 2.1355,                 0.9385,              0.0004116,              0.0004116,              0.0004116
                      7,                 1.0808,                 0.9027,                 1.0131,                0.95267,                 0.8621,                0.98539,                0.74072,                0.92399,                 1.6438,                0.89741,             0.00037632,             0.00037632,             0.00037632
                      8,                 1.0157,                0.82601,                0.98574,                0.94601,                0.93758,                0.98746,                0.74758,                0.89204,                 1.4105,                 0.9005,             0.00034104,             0.00034104,             0.00034104
                      9,                0.98471,                0.76656,                0.97591,                0.95944,                0.96251,                0.98668,                0.74856,                0.93048,                0.97734,                0.93227,             0.00030576,             0.00030576,             0.00030576
                     10,                0.95994,                0.74538,                0.97011,                0.96289,                0.96447,                0.98725,                0.74969,                0.90673,                0.84872,                0.92321,             0.00027048,             0.00027048,             0.00027048
                     11,                0.95347,                0.70736,                0.97173,                 0.9662,                0.97921,                0.98605,                0.75779,                0.92002,                0.74052,                0.93067,              0.0002352,              0.0002352,              0.0002352
                     12,                0.91539,                 0.6948,                0.95363,                0.96489,                0.98694,                0.98514,                0.76548,                0.87914,                 0.7409,                0.92353,             0.00019992,             0.00019992,             0.00019992
                     13,                0.90189,                0.65675,                0.95009,                0.97366,                0.97434,                0.98687,                0.74516,                 0.9409,                 0.6881,                0.93376,             0.00016464,             0.00016464,             0.00016464
                     14,                0.89064,                0.66257,                0.95816,                0.96883,                 0.9761,                0.98633,                0.76954,                0.88437,                0.64882,                 0.9174,             0.00012936,             0.00012936,             0.00012936
                     15,                0.86594,                0.62496,                0.94779,                0.96963,                0.98493,                0.98625,                0.77324,                0.85531,                0.64649,                0.91542,              9.408e-05,              9.408e-05,              9.408e-05
